Altitude_ft,Mach,PowerSetting,Thrust_lbf,FuelFlow_pph
40000,0.8,AB3,10944.5,17592.5
40000,0.8,AB4,11931.0,20976.2
40000,0.8,MAX,12516.3,23891.3
40000,1.0,IDLE,634.6,1275.0
40000,1.0,MIL,5669.1,2763.7
40000,1.0,AB1,7158.5,8141.3
40000,1.0,AB2,8829.9,12324.6
40000,1.0,AB3,10009.9,16559.0
40000,1.0,AB4,10912.2,19743.9
40000,1.0,MAX,11447.5,22487.8
40000,1.2,IDLE,680.0,1300.0
40000,1.2,MIL,6064.9,2985.6
40000,1.2,AB1,7658.3,8956.2
40000,1.2,AB2,9446.4,13558.2
40000,1.2,AB3,10708.8,18216.5
40000,1.2,AB4,11674.1,21720.2
40000,1.2,MAX,12246.8,24738.8
40000,1.4,IDLE,689.2,1325.0
40000,1.4,MIL,6147.2,3055.5
40000,1.4,AB1,7762.2,9327.6
40000,1.4,AB2,9574.6,14120.4
40000,1.4,AB3,10854.2,18971.9
40000,1.4,AB4,11832.5,22620.9
40000,1.4,MAX,12413.0,25764.6
40000,1.6,IDLE,689.3,1350.0
40000,1.6,MIL,6147.6,3085.1
40000,1.6,AB1,7762.7,9578.1
40000,1.6,AB2,9575.2,14499.6
40000,1.6,AB3,10854.9,19481.3
40000,1.6,AB4,11833.3,23228.3
40000,1.6,MAX,12413.8,26456.4
40000,1.8,IDLE,689.3,1375.0
40000,1.8,MIL,6147.6,3114.5
40000,1.8,AB1,7762.7,9828.0
40000,1.8,AB2,9575.2,14877.9
40000,1.8,AB3,10854.9,19989.5
40000,1.8,AB4,11833.3,23834.2
40000,1.8,MAX,12413.8,27146.6
40000,2.0,IDLE,689.3,1400.0
40000,2.0,MIL,6147.6,3143.9
40000,2.0,AB1,7762.7,10077.8
40000,2.0,AB2,9575.2,15256.1
40000,2.0,AB3,10854.9,20497.7
40000,2.0,AB4,11833.3,24440.2
40000,2.0,MAX,12413.8,27836.8
45000,0.0,IDLE,542.1,1150.0
45000,0.0,MIL,5198.2,2497.8
45000,0.0,AB1,5976.5,6446.9
45000,0.0,AB2,7461.1,9877.4
45000,0.0,AB3,8519.4,13367.1
45000,0.0,AB4,9332.0,16014.9
45000,0.0,MAX,9789.8,18240.6
45000,0.2,IDLE,543.6,1175.0
45000,0.2,MIL,5239.7,2517.7
45000,0.2,AB1,6024.1,6498.3
45000,0.2,AB2,7520.5,9956.2
45000,0.2,AB3,8587.3,13473.7
45000,0.2,AB4,9406.4,16142.6
45000,0.2,MAX,9867.9,18386.0
45000,0.4,IDLE,549.6,1200.0
45000,0.4,MIL,5413.3,2601.2
45000,0.4,AB1,6223.7,6713.6
45000,0.4,AB2,7769.7,10286.0
45000,0.4,AB3,8871.8,13920.0
45000,0.4,AB4,9718.0,16677.4
45000,0.4,MAX,10194.8,18995.1
45000,0.6,IDLE,552.4,1225.0
45000,0.6,MIL,5494.9,2640.4
45000,0.6,AB1,6317.6,6814.8
45000,0.6,AB2,7886.9,10441.2
45000,0.6,AB3,9005.6,14130.0
45000,0.6,AB4,9864.6,16929.0
45000,0.6,MAX,10348.6,19281.7
45000,0.8,IDLE,538.6,1250.0
45000,0.8,MIL,5238.7,2542.4
45000,0.8,AB1,6023.0,6691.9
45000,0.8,AB2,7519.1,10252.9
45000,0.8,AB3,8585.6,13875.2
45000,0.8,AB4,9404.6,16623.6
45000,0.8,MAX,9865.9,18933.8
45000,1.0,IDLE,499.1,1275.0
45000,1.0,MIL,4791.3,2348.4
45000,1.0,AB1,5508.7,6298.8
45000,1.0,AB2,6877.0,9650.5
45000,1.0,AB3,7852.5,13060.0
45000,1.0,AB4,8601.5,15647.0
45000,1.0,MAX,9023.5,17821.5
45000,1.2,IDLE,534.7,1300.0
45000,1.2,MIL,5125.9,2537.0
45000,1.2,AB1,5893.3,6929.3
45000,1.2,AB2,7357.2,10616.5
45000,1.2,AB3,8400.8,14367.3
45000,1.2,AB4,9202.1,17213.2
45000,1.2,MAX,9653.5,19605.4
45000,1.4,IDLE,542.0,1325.0
45000,1.4,MIL,5195.4,2596.3
45000,1.4,AB1,5973.3,7216.6
45000,1.4,AB2,7457.0,11056.8
45000,1.4,AB3,8514.8,14963.1
45000,1.4,AB4,9327.0,17927.0
45000,1.4,MAX,9784.5,20418.4
45000,1.6,IDLE,542.0,1350.0
45000,1.6,MIL,5195.8,2621.5
45000,1.6,AB1,5973.7,7410.4
45000,1.6,AB2,7457.5,11353.7
45000,1.6,AB3,8515.3,15364.9
45000,1.6,AB4,9327.6,18408.4
45000,1.6,MAX,9785.2,20966.7
45000,1.8,IDLE,542.0,1375.0
45000,1.8,MIL,5195.8,2646.4
45000,1.8,AB1,5973.7,7603.7
45000,1.8,AB2,7457.5,11649.9
45000,1.8,AB3,8515.3,15765.7
45000,1.8,AB4,9327.6,18888.6
45000,1.8,MAX,9785.2,21513.6
45000,2.0,IDLE,542.0,1400.0
45000,2.0,MIL,5195.8,2671.4
45000,2.0,AB1,5973.7,7797.0
45000,2.0,AB2,7457.5,11946.0
45000,2.0,AB3,8515.3,16166.5
45000,2.0,AB4,9327.6,19368.8
45000,2.0,MAX,9785.2,22060.6
