Altitude_ft,Mach,PowerSetting,Thrust_lbf,FuelFlow_pph
5000,1.6,MIL,14776.9,6947.6
5000,1.6,AB1,18290.9,21144.2
5000,1.6,AB2,21191.7,30065.2
5000,1.6,AB3,23137.6,38904.7
5000,1.6,AB4,24598.9,45239.6
5000,1.6,MAX,25805.7,51526.9
5000,1.8,IDLE,2412.7,1375.0
5000,1.8,MIL,14776.9,7013.8
5000,1.8,AB1,18290.9,21695.8
5000,1.8,AB2,21191.7,30849.5
5000,1.8,AB3,23137.6,39919.6
5000,1.8,AB4,24598.9,46419.8
5000,1.8,MAX,25805.7,52871.0
5000,2.0,IDLE,2412.7,1400.0
5000,2.0,MIL,14776.9,7079.9
5000,2.0,AB1,18290.9,22247.4
5000,2.0,AB2,21191.7,31633.8
5000,2.0,AB3,23137.6,40934.5
5000,2.0,AB4,24598.9,47600.0
5000,2.0,MAX,25805.7,54215.2
10000,0.0,IDLE,2068.1,1150.0
10000,0.0,MIL,13270.5,6022.3
10000,0.0,AB1,16681.6,16994.7
10000,0.0,AB2,19476.9,24352.1
10000,0.0,AB3,21364.0,31658.0
10000,0.0,AB4,22783.5,36926.8
10000,0.0,MAX,23901.2,42058.7
10000,0.2,IDLE,2073.6,1175.0
10000,0.2,MIL,13376.3,6070.4
10000,0.2,AB1,16814.7,17130.2
10000,0.2,AB2,19632.2,24546.2
10000,0.2,AB3,21534.3,31910.5
10000,0.2,AB4,22965.2,37221.2
10000,0.2,MAX,24091.8,42394.0
10000,0.4,IDLE,2096.6,1200.0
10000,0.4,MIL,13819.4,6271.5
10000,0.4,AB1,17371.7,17697.7
10000,0.4,AB2,20282.6,25359.4
10000,0.4,AB3,22247.7,32967.6
10000,0.4,AB4,23726.0,38454.3
10000,0.4,MAX,24889.9,43798.5
10000,0.6,IDLE,2107.3,1225.0
10000,0.6,MIL,14027.9,6366.1
10000,0.6,AB1,17633.8,17964.7
10000,0.6,AB2,20588.6,25742.0
10000,0.6,AB3,22583.4,33465.0
10000,0.6,AB4,24083.9,39034.4
10000,0.6,MAX,25265.4,44459.3
10000,0.8,IDLE,2054.8,1250.0
10000,0.8,MIL,13373.7,6129.9
10000,0.8,AB1,16811.3,17640.7
10000,0.8,AB2,19628.3,25277.7
10000,0.8,AB3,21530.1,32861.3
10000,0.8,AB4,22960.7,38330.3
10000,0.8,MAX,24087.0,43657.3
10000,1.0,IDLE,1903.8,1275.0
10000,1.0,MIL,12231.7,5662.0
10000,1.0,AB1,15375.9,16604.3
10000,1.0,AB2,17952.3,23792.7
10000,1.0,AB3,19691.7,30930.8
10000,1.0,AB4,21000.1,36078.5
